TITLE	ACcitrico
DATA TYPE	INFRARED SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/11/05
TIME	11:57:49
SPECTROMETER/DATA SYSTEM	
LOCALE	3082
RESOLUTION	
DELTAX	0,964233
XUNITS	1/CM
YUNITS	TRANSMITTANCE
FIRSTX	  399,1927
LASTX	 4000,6047
NPOINTS	    3736
FIRSTY	    83,31934
MAXY	   103,34169
MINY	    69,06387
XYDATA
399,1927	83,3193
400,1569	84,8944
401,1211	86,7886
402,0854	88,5663
403,0496	90,0238
404,0138	91,1174
404,9781	91,8691
405,9423	92,3002
406,9065	92,3957
407,8708	92,1087
408,8350	91,4109
409,7992	90,3698
410,7635	89,1997
411,7277	88,2134
412,6919	87,6645
413,6562	87,6071
414,6204	87,8918
415,5846	88,257
416,5489	88,4113
417,5131	88,1086
418,4773	87,3229
419,4416	86,4178
420,4058	85,8374
421,3700	85,6314
422,3343	85,6093
423,2985	85,6723
424,2627	85,8724
425,2270	86,3086
426,1912	86,9978
427,1554	87,8147
428,1197	88,5417
429,0839	88,9763
430,0481	89,0149
431,0124	88,6788
431,9766	88,0915
432,9408	87,4308
433,9051	86,8817
434,8693	86,5978
435,8335	86,657
436,7978	87,0254
437,7620	87,5677
438,7262	88,1152
439,6905	88,5434
440,6547	88,8149
441,6189	88,9728
442,5832	89,0918
443,5474	89,2073
444,5116	89,279
445,4759	89,2293
446,4401	89,0179
447,4043	88,6728
448,3686	88,2635
449,3328	87,8535
450,2970	87,4709
451,2613	87,1106
452,2255	86,7598
453,1897	86,4212
454,1540	86,1131
455,1182	85,8522
456,0824	85,6321
457,0467	85,417
458,0109	85,1598
458,9751	84,8407
459,9394	84,4839
460,9036	84,1318
461,8678	83,8122
462,8321	83,5271
463,7963	83,2563
464,7605	82,9645
465,7248	82,6136
466,6890	82,1782
467,6532	81,6557
468,6175	81,0633
469,5817	80,4313
470,5459	79,8007
471,5102	79,2241
472,4744	78,753
473,4386	78,4068
474,4029	78,1504
475,3671	77,9096
476,3313	77,6105
477,2956	77,2149
478,2598	76,7363
479,2240	76,2348
480,1883	75,7886
481,1525	75,4579
482,1167	75,2598
483,0810	75,1669
484,0452	75,127
485,0094	75,0904
485,9737	75,0304
486,9379	74,9468
487,9021	74,8569
488,8664	74,7843
489,8306	74,7466
490,7948	74,7411
491,7591	74,7369
492,7233	74,6859
493,6875	74,5531
494,6518	74,3443
495,6160	74,107
496,5802	73,9132
497,5445	73,8458
498,5087	73,9957
499,4729	74,4554
500,4372	75,2847
501,4014	76,4468
502,3656	77,751
503,3299	78,8709
504,2941	79,4783
505,2583	79,4474
506,2226	78,9811
507,1868	78,5216
508,1510	78,4873
509,1153	79,05
510,0795	80,0993
511,0437	81,36
512,0080	82,5472
512,9722	83,4788
513,9365	84,1109
514,9007	84,5043
515,8649	84,7617
516,8292	84,9756
517,7934	85,2048
518,7576	85,4718
519,7219	85,7672
520,6861	86,0596
521,6503	86,3105
522,6146	86,4933
523,5788	86,6093
524,5430	86,6948
525,5073	86,8043
526,4715	86,9703
527,4357	87,1698
528,4000	87,3341
529,3642	87,3913
530,3284	87,2996
531,2927	87,0538
532,2569	86,6724
533,2211	86,1788
534,1854	85,5896
535,1496	84,9114
536,1138	84,1475
537,0781	83,3057
538,0423	82,4033
539,0065	81,4673
539,9708	80,5326
540,9350	79,6391
541,8992	78,8281
542,8635	78,1361
543,8277	77,5893
544,7919	77,2014
545,7562	76,98
546,7204	76,9382
547,6846	77,104
548,6489	77,5151
549,6131	78,1987
550,5773	79,1462
551,5416	80,3003
552,5058	81,5642
553,4700	82,8293
554,4343	84,0066
555,3985	85,0486
556,3627	85,9504
557,3270	86,7336
558,2912	87,4243
559,2554	88,039
560,2197	88,5829
561,1839	89,0562
562,1481	89,4623
563,1124	89,811
564,0766	90,1179
565,0408	90,4009
566,0051	90,674
566,9693	90,9404
567,9335	91,1851
568,8978	91,3769
569,8620	91,482
570,8262	91,485
571,7905	91,4002
572,7547	91,2668
573,7189	91,1302
574,6832	91,0194
575,6474	90,9332
576,6116	90,8437
577,5759	90,7176
578,5401	90,5372
579,5043	90,3062
580,4686	90,0354
581,4328	89,7256
582,3970	89,3613
583,3613	88,9218
584,3255	88,3994
585,2897	87,8068
586,2540	87,1649
587,2182	86,4787
588,1824	85,72
589,1467	84,8294
590,1109	83,742
591,0751	82,4273
592,0394	80,9232
593,0036	79,3386
593,9678	77,8204
594,9321	76,514
595,8963	75,5486
596,8605	75,042
597,8248	75,0971
598,7890	75,7731
599,7532	77,0457
600,7175	78,7932
601,6817	80,8294
602,6459	82,9607
603,6102	85,0286
604,5744	86,9211
605,5386	88,5662
606,5029	89,9261
607,4671	90,9967
608,4313	91,8053
609,3956	92,4013
610,3598	92,8395
611,3240	93,163
612,2883	93,3947
613,2525	93,5389
614,2167	93,5926
615,1810	93,558
616,1452	93,4504
617,1094	93,2966
618,0737	93,1234
619,0379	92,9446
620,0021	92,7565
620,9664	92,5449
621,9306	92,2971
622,8948	92,0102
623,8591	91,6905
624,8233	91,3455
625,7875	90,9752
626,7518	90,5687
627,7160	90,1107
628,6802	89,5897
629,6445	89,0025
630,6087	88,3535
631,5729	87,65
632,5372	86,9005
633,5014	86,1158
634,4656	85,3128
635,4299	84,5177
636,3941	83,7695
637,3583	83,123
638,3226	82,6487
639,2868	82,4263
640,2510	82,5253
641,2153	82,9792
642,1795	83,765
643,1437	84,801
644,1080	85,9672
645,0722	87,1419
646,0364	88,2334
647,0007	89,1926
647,9649	90,0024
648,9291	90,6587
649,8934	91,1586
650,8576	91,5043
651,8218	91,7112
652,7861	91,8108
653,7503	91,8408
654,7145	91,8335
