"N-GQD_CA"
"Wavelength nm."	"Abs."
200.00	3.0681
201.00	3.0340
202.00	3.1423
203.00	3.2881
204.00	3.0653
205.00	3.0018
206.00	3.0783
207.00	3.1143
208.00	3.0804
209.00	3.0505
210.00	3.0556
211.00	3.0404
212.00	3.0336
213.00	3.0518
214.00	3.0092
215.00	2.9928
216.00	2.9945
217.00	2.9951
218.00	2.9628
219.00	2.9610
220.00	2.9295
221.00	2.9084
222.00	2.8609
223.00	2.8474
224.00	2.8152
225.00	2.7984
226.00	2.7874
227.00	2.7756
228.00	2.7650
229.00	2.7842
230.00	2.7623
231.00	2.7702
232.00	2.7761
233.00	2.7966
234.00	2.7935
235.00	2.7911
236.00	2.7940
237.00	2.8006
238.00	2.8028
239.00	2.7770
240.00	2.7878
241.00	2.7711
242.00	2.7497
243.00	2.7370
244.00	2.6940
245.00	2.6550
246.00	2.6112
247.00	2.5446
248.00	2.4733
249.00	2.3758
250.00	2.2567
251.00	2.1287
252.00	1.9786
253.00	1.8269
254.00	1.6724
255.00	1.5211
256.00	1.3659
257.00	1.2242
258.00	1.0892
259.00	0.9780
260.00	0.8773
261.00	0.7919
262.00	0.7205
263.00	0.6595
264.00	0.6104
265.00	0.5682
266.00	0.5329
267.00	0.5045
268.00	0.4793
269.00	0.4585
270.00	0.4405
271.00	0.4253
272.00	0.4112
273.00	0.3994
274.00	0.3896
275.00	0.3809
276.00	0.3732
277.00	0.3664
278.00	0.3607
279.00	0.3555
280.00	0.3519
281.00	0.3489
282.00	0.3471
283.00	0.3463
284.00	0.3466
285.00	0.3481
286.00	0.3509
287.00	0.3545
288.00	0.3594
289.00	0.3657
290.00	0.3730
291.00	0.3813
292.00	0.3908
293.00	0.4019
294.00	0.4129
295.00	0.4259
296.00	0.4393
297.00	0.4547
298.00	0.4707
299.00	0.4877
300.00	0.5067
301.00	0.5273
302.00	0.5492
303.00	0.5718
304.00	0.5969
305.00	0.6228
306.00	0.6510
307.00	0.6807
308.00	0.7098
309.00	0.7417
310.00	0.7752
311.00	0.8062
312.00	0.8397
313.00	0.8775
314.00	0.9132
315.00	0.9517
316.00	0.9877
317.00	1.0257
318.00	1.0642
319.00	1.1095
320.00	1.1460
321.00	1.1880
322.00	1.2303
323.00	1.2703
324.00	1.3118
325.00	1.3558
326.00	1.4004
327.00	1.4390
328.00	1.4841
329.00	1.5319
330.00	1.5434
331.00	1.6044
332.00	1.6360
333.00	1.6617
334.00	1.7050
335.00	1.7427
336.00	1.7674
337.00	1.8070
338.00	1.8282
339.00	1.8559
340.00	1.8801
341.00	1.8573
342.00	1.8843
343.00	1.8976
344.00	1.9081
345.00	1.9172
346.00	1.9238
347.00	1.9140
348.00	1.9220
349.00	1.9178
350.00	1.9164
351.00	1.9220
352.00	1.8991
353.00	1.8913
354.00	1.8845
355.00	1.8732
356.00	1.8562
357.00	1.8330
358.00	1.8114
359.00	1.8054
360.00	1.7869
361.00	1.7527
362.00	1.7265
363.00	1.6958
364.00	1.6671
365.00	1.6152
366.00	1.5715
367.00	1.5358
368.00	1.4963
369.00	1.4555
370.00	1.4137
371.00	1.3739
372.00	1.3304
373.00	1.2863
374.00	1.2409
375.00	1.1971
376.00	1.1538
377.00	1.1082
378.00	1.0637
379.00	1.0182
380.00	0.9736
381.00	0.9296
382.00	0.8868
383.00	0.8445
384.00	0.8029
385.00	0.7595
386.00	0.7160
387.00	0.6738
388.00	0.6335
389.00	0.5952
390.00	0.5583
391.00	0.5229
392.00	0.4891
393.00	0.4547
394.00	0.4231
395.00	0.3941
396.00	0.3674
397.00	0.3428
398.00	0.3188
399.00	0.2966
400.00	0.2754
401.00	0.2562
402.00	0.2395
403.00	0.2239
404.00	0.2096
405.00	0.1972
406.00	0.1857
407.00	0.1751
408.00	0.1656
409.00	0.1572
410.00	0.1496
411.00	0.1430
412.00	0.1375
413.00	0.1324
414.00	0.1278
415.00	0.1237
416.00	0.1206
417.00	0.1170
418.00	0.1138
419.00	0.1113
420.00	0.1087
421.00	0.1064
422.00	0.1044
423.00	0.1026
424.00	0.1009
425.00	0.0994
426.00	0.0979
427.00	0.0965
428.00	0.0952
429.00	0.0939
430.00	0.0926
431.00	0.0914
432.00	0.0902
433.00	0.0891
434.00	0.0879
435.00	0.0867
436.00	0.0854
437.00	0.0841
438.00	0.0829
439.00	0.0816
440.00	0.0804
441.00	0.0792
442.00	0.0780
443.00	0.0767
444.00	0.0755
445.00	0.0744
446.00	0.0731
447.00	0.0720
448.00	0.0709
449.00	0.0698
450.00	0.0687
451.00	0.0676
452.00	0.0666
453.00	0.0656
454.00	0.0646
455.00	0.0636
456.00	0.0627
457.00	0.0617
458.00	0.0607
459.00	0.0597
460.00	0.0589
461.00	0.0581
462.00	0.0572
463.00	0.0563
464.00	0.0553
465.00	0.0544
466.00	0.0536
467.00	0.0527
468.00	0.0519
469.00	0.0511
470.00	0.0502
471.00	0.0494
472.00	0.0486
473.00	0.0478
474.00	0.0470
475.00	0.0462
476.00	0.0455
477.00	0.0447
478.00	0.0439
479.00	0.0431
480.00	0.0424
481.00	0.0417
482.00	0.0410
483.00	0.0403
484.00	0.0396
485.00	0.0388
486.00	0.0381
487.00	0.0375
488.00	0.0368
489.00	0.0362
490.00	0.0356
491.00	0.0350
492.00	0.0344
493.00	0.0338
494.00	0.0332
495.00	0.0327
496.00	0.0321
497.00	0.0316
498.00	0.0311
499.00	0.0307
500.00	0.0302
501.00	0.0297
502.00	0.0293
503.00	0.0289
504.00	0.0284
505.00	0.0281
506.00	0.0277
507.00	0.0273
508.00	0.0269
509.00	0.0266
510.00	0.0262
511.00	0.0258
512.00	0.0255
513.00	0.0252
514.00	0.0249
515.00	0.0246
516.00	0.0243
517.00	0.0240
518.00	0.0237
519.00	0.0234
520.00	0.0231
521.00	0.0228
522.00	0.0225
523.00	0.0222
524.00	0.0220
525.00	0.0217
526.00	0.0214
527.00	0.0211
528.00	0.0209
529.00	0.0206
530.00	0.0203
531.00	0.0201
532.00	0.0198
533.00	0.0195
534.00	0.0192
535.00	0.0190
536.00	0.0187
537.00	0.0185
538.00	0.0182
539.00	0.0179
540.00	0.0177
541.00	0.0174
542.00	0.0172
543.00	0.0170
544.00	0.0168
545.00	0.0166
546.00	0.0164
547.00	0.0162
548.00	0.0160
549.00	0.0158
550.00	0.0156
551.00	0.0154
552.00	0.0152
553.00	0.0151
554.00	0.0149
555.00	0.0148
556.00	0.0145
557.00	0.0143
558.00	0.0142
